0.004290 7.034603
0 0 0.0729965315742056
1 1 0.0158247126276255
2 0 0.0523270716979701
2 2 0.0300928335056274
3 1 0.0178696305111471
3 3 0.0097010109909320
4 0 0.0083654442298333
4 2 0.0152469369060934
4 4 0.0103403046270792
5 1 0.0103283174487788
5 3 0.0147891652160071
5 5 0.0076893908865667
6 0 0.0062843304757037
6 2 0.0108897699015721
6 4 0.0225631445488723
6 6 0.0111493759854712
7 1 0.0151967958825050
7 3 0.0147911619241884
7 5 0.0112047824350979
7 7 0.0109325075187343
8 0 0.0048405009394500
8 2 0.0247712573839061
8 4 0.0347908526417154
8 6 0.0224566091944656
8 8 0.0151461487663263
9 1 0.0058572449537919
9 3 0.0032932669641220
9 5 0.0152512463456327
9 7 0.0122747646223559
9 9 0.0144385075540267
10 0 0.0009375052096278
10 2 0.0355170257215717
10 4 0.0253333963948283
10 6 0.0375025281601507
10 8 0.0238744433907346
10 10 0.0104452515732104
11 1 0.0187522497427887
11 3 0.0147591336977801
11 5 0.0186771003796098
11 7 0.0193166891345176
11 9 0.0120211516384085
11 11 0.0114288487041676
12 0 0.0033530567503398
12 2 0.0259446446170574
12 4 0.0094999751320733
12 6 0.0353170249558468
12 8 0.0253935823368983
12 10 0.0107091080481403
12 12 0.0074530338889805
13 1 0.0162484544317882
13 3 0.0199850142851682
13 5 0.0208240672938208
13 7 0.0188648956584930
13 9 0.0107316340979926
13 11 0.0089978767966255
13 13 0.0070950799703932
14 0 0.0035172840901194
14 2 0.0144269236265077
14 4 0.0058549163568278
14 6 0.0203540026884775
14 8 0.0219712898796343
14 10 0.0107132028090644
14 12 0.0070040987474708
14 14 0.0057797561631854
15 1 0.0056882719750875
15 3 0.0179814347382377
15 5 0.0167276205997625
15 7 0.0108183629338192
15 9 0.0107910203180561
15 11 0.0062183895367852
15 13 0.0059457498920428
15 15 0.0036576310539212
16 0 0.0028024640596351
16 2 0.0052820377294916
16 4 0.0052459079289286
16 6 0.0076250011194066
16 8 0.0135625725939403
16 10 0.0113947250341140
16 12 0.0060473471504174
16 14 0.0049032154091344
16 16 0.0039029349174836
17 1 0.0024917699390549
17 3 0.0119563241088593
17 5 0.0092860748665552
17 7 0.0046604216157084
17 9 0.0060791042916913
17 11 0.0056090125395796
17 13 0.0048299962709647
17 15 0.0038727850884413
17 17 0.0013474067484966
18 0 0.0009058737953359
18 2 0.0023072298700894
18 4 0.0047027622627301
18 6 0.0058045398813006
18 8 0.0059810252406734
18 10 0.0079354098906054
18 12 0.0073746190177110
18 14 0.0031974851533798
18 16 0.0029388587429839
18 18 0.0016768196480182
19 1 0.0045750387707125
19 3 0.0050869782629409
19 5 0.0067100220255139
19 7 0.0056376007463700
19 9 0.0041797963023466
19 11 0.0051471050555099
19 13 0.0039110441200308
19 15 0.0044721387625403
19 17 0.0031781892666588
19 19 0.0016656547141796
20 0 0.0021020614018165
20 2 0.0037602557435239
20 4 0.0046437118259089
20 6 0.0045253800878115
20 8 0.0053791983849750
20 10 0.0073808637267477
20 12 0.0072252784472672
20 14 0.0056319949182736
20 16 0.0026421008946434
20 18 0.0020699496337277
20 20 0.0019374457550077
21 1 0.0033831049473053
21 3 0.0051434548648196
21 5 0.0080883647858916
21 7 0.0065303272935448
21 9 0.0048854980024081
21 11 0.0062516770906500
21 13 0.0062101189739711
21 15 0.0041386133139500
21 17 0.0039287885851531
21 19 0.0022664122549613
21 21 0.0022648496593902
22 0 0.0018775518327910
22 2 0.0037526107206069
22 4 0.0049053820655096
22 6 0.0021769955554371
22 8 0.0045202840748453
22 10 0.0064220790781773
22 12 0.0061694075246355
22 14 0.0070054373363649
22 16 0.0034695205491792
22 18 0.0023590674488188
22 20 0.0028873672698304
22 22 0.0021294311464795
23 1 0.0019152262566613
23 3 0.0038304437098817
23 5 0.0094327449100712
23 7 0.0040272115376636
23 9 0.0064213491238644
23 11 0.0056761773365655
23 13 0.0070551351838063
23 15 0.0051296731681834
23 17 0.0037810906225481
23 19 0.0029071623976756
23 21 0.0031790036184133
23 23 0.0021873880836712
24 0 0.0011428643912892
24 2 0.0028379671780082
24 4 0.0058647523959627
24 6 0.0067823969105754
24 8 0.0026906375617095
24 10 0.0067569669327667
24 12 0.0068567947857075
24 14 0.0073847151338573
24 16 0.0055599002284841
24 18 0.0035252514718831
24 20 0.0035271728774710
24 22 0.0035250631503931
24 24 0.0018085331145378
25 1 0.0021479279071573
25 3 0.0022527640410569
25 5 0.0103999187046214
25 7 0.0052904339708428
25 9 0.0071504841208425
25 11 0.0062849602176703
25 13 0.0060108800327952
25 15 0.0065220525082246
25 17 0.0050766926015409
25 19 0.0036282746704811
25 21 0.0036418392028891
25 23 0.0032667150448796
25 25 0.0022184992626426
