0.015848 5.467378
0 0 0.0473715691825851
1 1 0.0068423119747366
2 0 0.0383005705905300
2 2 0.0359012545480343
3 1 0.0189612263970616
3 3 0.0126426573629674
4 0 0.0010426712193134
4 2 0.0460160429526074
4 4 0.0130158480720931
5 1 0.0293831934297668
5 3 0.0399601082432653
5 5 0.0092265935344052
6 0 0.0022189848002322
6 2 0.0243448828604118
6 4 0.0199378665582755
6 6 0.0105557130776132
7 1 0.0245248004833448
7 3 0.0529703228233658
7 5 0.0144884990363525
7 7 0.0090419847967303
8 0 0.0148540003446787
8 2 0.0206548100626130
8 4 0.0387347007740800
8 6 0.0212818983430454
8 8 0.0099686816958950
9 1 0.0065373312664704
9 3 0.0346044378919187
9 5 0.0107922863702145
9 7 0.0136510217873227
9 9 0.0079887554988667
10 0 0.0151720656300400
10 2 0.0121902817252076
10 4 0.0433691930474922
10 6 0.0249897518342892
10 8 0.0245354830262858
10 10 0.0062290350751092
11 1 0.0123845707669565
11 3 0.0090422867872505
11 5 0.0134888908765097
11 7 0.0086816686856581
11 9 0.0164391871515131
11 11 0.0047282767373432
12 0 0.0088326716850161
12 2 0.0198978306494971
12 4 0.0269292435098274
12 6 0.0281203336846156
12 8 0.0258874013072567
12 10 0.0132591344368079
12 12 0.0036747671496671
13 1 0.0136644697073440
13 3 0.0112051181714403
13 5 0.0135561541051310
13 7 0.0109670745200915
13 9 0.0134228033614550
13 11 0.0093788802402910
13 13 0.0028065989044545
14 0 0.0026724568129411
14 2 0.0199118970765728
14 4 0.0131883642911472
14 6 0.0217098246956376
14 8 0.0174239174109065
14 10 0.0115117245541132
14 12 0.0061077187724653
14 14 0.0021932309534736
15 1 0.0100229262805699
15 3 0.0107701001752706
15 5 0.0089752907870762
15 7 0.0083400936858039
15 9 0.0087269523256218
15 11 0.0072081680418340
15 13 0.0042538676396092
15 15 0.0021132925293534
16 0 0.0012648397875869
16 2 0.0118461448393308
16 4 0.0058192639113774
16 6 0.0141536379620283
16 8 0.0116598982687416
16 10 0.0074227894185522
16 12 0.0035617249140916
16 14 0.0030840531665971
16 16 0.0012893660556932
17 1 0.0061029533676775
17 3 0.0050106251881234
17 5 0.0050219803593321
17 7 0.0042933405280906
17 9 0.0045885868334470
17 11 0.0039503877101742
17 13 0.0020630268595251
17 15 0.0027292794250205
17 17 0.0014944018819861
18 0 0.0028415737697271
18 2 0.0040021799490505
18 4 0.0054848245240393
18 6 0.0087047042466507
18 8 0.0087695925206647
18 10 0.0052591743377209
18 12 0.0017979495883130
18 14 0.0021707950611729
18 16 0.0012700364081101
18 18 0.0008387499742578
19 1 0.0011781650949434
19 3 0.0023770405352522
19 5 0.0042267560649155
19 7 0.0042338110846186
19 9 0.0037571805824674
19 11 0.0031059607205515
19 13 0.0009950296951750
19 15 0.0018943995841932
19 17 0.0014333678498882
19 19 0.0008826036670660
20 0 0.0028653701563343
20 2 0.0028019245731928
20 4 0.0037709271993521
20 6 0.0052124234758224
20 8 0.0054250438600287
20 10 0.0062164705656262
20 12 0.0037140850911310
20 14 0.0025360141030577
20 16 0.0020982435241644
20 18 0.0003924293858563
20 20 0.0006183677215845
21 1 0.0028792498485565
21 3 0.0041630346358382
21 5 0.0039000614904958
21 7 0.0068824127699955
21 9 0.0064355433138144
21 11 0.0045229993475020
21 13 0.0029607377850811
21 15 0.0036449169051903
21 17 0.0031304970876678
21 19 0.0003090257532810
21 21 0.0004713582607178
22 0 0.0014136658615998
22 2 0.0019936874455117
22 4 0.0017722750634396
22 6 0.0046423480684672
22 8 0.0053641389119045
22 10 0.0062659596418947
22 12 0.0061678242365470
22 14 0.0048002665276122
22 16 0.0032278841882422
22 18 0.0022474368204607
22 20 0.0003231700557647
22 22 0.0004424392603019
23 1 0.0040099204929429
23 3 0.0051911346036108
23 5 0.0087715155832995
23 7 0.0057261704528388
23 9 0.0061142964789890
23 11 0.0048446625027797
23 13 0.0036788175157707
23 15 0.0034718040733163
23 17 0.0059944239355284
23 19 0.0034144294642869
23 21 0.0004857252174221
23 23 0.0002771554492499
24 0 0.0004516242947380
24 2 0.0024312907208304
24 4 0.0030971876528799
24 6 0.0055934294868112
24 8 0.0042129703654927
24 10 0.0046384043414069
24 12 0.0058804919322977
24 14 0.0057648590033612
24 16 0.0037711068984647
24 18 0.0025825217594242
24 20 0.0026035378665678
24 22 0.0004769581232800
24 24 0.0002848483838196
25 1 0.0046678426128980
25 3 0.0052226927132018
25 5 0.0082158567612727
25 7 0.0042689582474504
25 9 0.0049941128441035
25 11 0.0043478057410610
25 13 0.0052873500839966
25 15 0.0048140551039738
25 17 0.0053886705880930
25 19 0.0051240666941721
25 21 0.0025697744108484
25 23 0.0005398232589599
25 25 0.0001911640496357
