0.018771 7.200560
0 0 0.0602836169647203
1 1 0.0211687186248556
2 0 0.0331160809791868
2 2 0.0273547043448397
3 1 0.0283033634367987
3 3 0.0086241740273023
4 0 0.0182032213887949
4 2 0.0182616724188076
4 4 0.0240484342759319
5 1 0.0006297412125090
5 3 0.0214038077729120
5 5 0.0064538146076961
6 0 0.0215743924780829
6 2 0.0278097914138450
6 4 0.0188114371920764
6 6 0.0235634829331210
7 1 0.0267112020147614
7 3 0.0215877998293370
7 5 0.0201002741140239
7 7 0.0049242805318325
8 0 0.0050641626506713
8 2 0.0545315357723736
8 4 0.0108988142020936
8 6 0.0309257324904140
8 8 0.0151642925285828
9 1 0.0212858076882276
9 3 0.0136254432791760
9 5 0.0231814202678982
9 7 0.0133791891616126
9 9 0.0017547814671852
10 0 0.0054024998657402
10 2 0.0624271591357056
10 4 0.0139369204869130
10 6 0.0311360479831774
10 8 0.0193707028819376
10 10 0.0103759634108243
11 1 0.0062608089533298
11 3 0.0100144288715737
11 5 0.0100940264413343
11 7 0.0197188035685534
11 9 0.0063187813116360
11 11 0.0022400170879708
12 0 0.0104578718571429
12 2 0.0406397549453540
12 4 0.0208776607835307
12 6 0.0187891069279832
12 8 0.0210522858371827
12 10 0.0114462124844427
12 12 0.0080131055076417
13 1 0.0021428136057339
13 3 0.0080553026625835
13 5 0.0050537854526970
13 7 0.0161216701190466
13 9 0.0124844811058964
13 11 0.0059454276744538
13 13 0.0012613496133008
14 0 0.0034503994599308
14 2 0.0139472568451106
14 4 0.0199045163891796
14 6 0.0061006161910791
14 8 0.0170335857568551
14 10 0.0088548476270857
14 12 0.0104503823542473
14 14 0.0050041870500156
15 1 0.0011662226883767
15 3 0.0025143472967195
15 5 0.0059715003131641
15 7 0.0067108748994100
15 9 0.0111298219592492
15 11 0.0076490479183507
15 13 0.0022584050927326
15 15 0.0007021424517691
16 0 0.0018287749878309
16 2 0.0016848347752849
16 4 0.0180349205705098
16 6 0.0072939840367335
16 8 0.0117500706750469
16 10 0.0079898065493166
16 12 0.0087302848786289
16 14 0.0044486925704870
16 16 0.0019821676212878
17 1 0.0012176293640056
17 3 0.0016756613283013
17 5 0.0049218552206093
17 7 0.0022906694084081
17 9 0.0052801018891742
17 11 0.0043348492196842
17 13 0.0018184867013848
17 15 0.0014439930109812
17 17 0.0003569940061370
18 0 0.0011766914113207
18 2 0.0013919622295723
18 4 0.0107675190829363
18 6 0.0056138287025472
18 8 0.0039359641627326
18 10 0.0071976506155216
18 12 0.0038163642538188
18 14 0.0032789728965195
18 16 0.0020009424490267
18 18 0.0011608856057405
19 1 0.0005627195769137
19 3 0.0014993492415836
19 5 0.0033758434491756
19 7 0.0031868496273754
19 9 0.0030223382921363
19 11 0.0060110460741414
19 13 0.0028507971451641
19 15 0.0012057897608670
19 17 0.0007743536987167
19 19 0.0003914351732971
20 0 0.0043656057378882
20 2 0.0019329695962184
20 4 0.0022071762526083
20 6 0.0043840902663240
20 8 0.0056864754701947
20 10 0.0058668662561251
20 12 0.0100497722426613
20 14 0.0037169436226991
20 16 0.0024634880884483
20 18 0.0032297714894679
20 20 0.0026172807321210
21 1 0.0041315592813065
21 3 0.0063584025844316
21 5 0.0030232151116681
21 7 0.0030141213966619
21 9 0.0077560022186922
21 11 0.0069838306457920
21 13 0.0059853070074494
21 15 0.0030175529901640
21 17 0.0008089245306244
21 19 0.0006252764679575
21 21 0.0007020287725498
22 0 0.0019145228991310
22 2 0.0045257026638102
22 4 0.0063041229819128
22 6 0.0118479087640752
22 8 0.0059568804364534
22 10 0.0054899424237698
22 12 0.0098260290377090
22 14 0.0076805216606071
22 16 0.0045679682779071
22 18 0.0015271251011402
22 20 0.0042965178645767
22 22 0.0034922439486465
23 1 0.0042498467297802
23 3 0.0076956097267964
23 5 0.0032000752248476
23 7 0.0063538519659069
23 9 0.0087824427885292
23 11 0.0034417058347949
23 13 0.0067228880338359
23 15 0.0067764785788598
23 17 0.0034123711682709
23 19 0.0010629682582910
23 21 0.0008079068627443
23 23 0.0009164786868673
24 0 0.0009334080192107
24 2 0.0048240294143380
24 4 0.0057565479408149
24 6 0.0118370941669507
24 8 0.0071865329633705
24 10 0.0086560976578487
24 12 0.0038465460761743
24 14 0.0098798177125238
24 16 0.0070252648525324
24 18 0.0046738549801391
24 20 0.0024256730442000
24 22 0.0047644958948488
24 24 0.0034786815117910
25 1 0.0028620509936141
25 3 0.0060353505362272
25 5 0.0034553536245802
25 7 0.0080915357123250
25 9 0.0050058812932977
25 11 0.0023554426713670
25 13 0.0033000416311783
25 15 0.0091683725373864
25 17 0.0062534206081414
25 19 0.0033050501212431
25 21 0.0011945185252979
25 23 0.0008974149051834
25 25 0.0009559113788070
