0.013338 7.837382
0 0 0.0934250664128690
1 1 0.0115673813713582
2 0 0.0602096457945633
2 2 0.0261335258513891
3 1 0.0185414096555055
3 3 0.0080760096774601
4 0 0.0111168063574471
4 2 0.0167699379845398
4 4 0.0202056277817994
5 1 0.0156068449529334
5 3 0.0075815679908078
5 5 0.0151772442944734
6 0 0.0231703990155334
6 2 0.0281150709079529
6 4 0.0274935560156571
6 6 0.0072988408109594
7 1 0.0139913096337620
7 3 0.0101672459765311
7 5 0.0155316596258051
7 7 0.0117055219541130
8 0 0.0053303426372350
8 2 0.0382067252796829
8 4 0.0276421692667383
8 6 0.0170714283379653
8 8 0.0137268999044245
9 1 0.0126010900499707
9 3 0.0062524427636539
9 5 0.0150899503903325
9 7 0.0105701614693842
9 9 0.0117765912554743
10 0 0.0060581710483115
10 2 0.0332570569831260
10 4 0.0195525793843119
10 6 0.0131484781206911
10 8 0.0240336013871248
10 10 0.0152918663385471
11 1 0.0095769699136958
11 3 0.0042041908606547
11 5 0.0154953040712432
11 7 0.0191229613283975
11 9 0.0116619643442460
11 11 0.0097959660548774
12 0 0.0041448930811004
12 2 0.0266316043599962
12 4 0.0342402764269272
12 6 0.0172657957268561
12 8 0.0354689265029108
12 10 0.0214195050100019
12 12 0.0097712160085361
13 1 0.0115839273228354
13 3 0.0043471435649557
13 5 0.0158367478720175
13 7 0.0181922007269402
13 9 0.0179398002742452
13 11 0.0078170794301240
13 13 0.0065546377756769
14 0 0.0019599212628801
14 2 0.0203540311499866
14 4 0.0313602744301772
14 6 0.0194412788844171
14 8 0.0336289130043418
14 10 0.0189791637505272
14 12 0.0098002392336107
14 14 0.0060947745296989
15 1 0.0069886936120107
15 3 0.0036080456671675
15 5 0.0119834579630113
15 7 0.0120260863934137
15 9 0.0166443813883372
15 11 0.0069597734628555
15 13 0.0048845953298274
15 15 0.0031944612796135
16 0 0.0021806887333237
16 2 0.0092371034726139
16 4 0.0201525273281574
16 6 0.0159721768769338
16 8 0.0162069400484166
16 10 0.0153811927798491
16 12 0.0061936994228774
16 14 0.0048570818331250
16 16 0.0036700539790476
17 1 0.0025500578927484
17 3 0.0029336193360974
17 5 0.0105076011836828
17 7 0.0055545014654671
17 9 0.0082341753393543
17 11 0.0059542361021256
17 13 0.0042393799036652
17 15 0.0012420276392490
17 17 0.0014339904655786
18 0 0.0068298609422867
18 2 0.0038332785536901
18 4 0.0078383572166207
18 6 0.0124625451794729
18 8 0.0047026655471032
18 10 0.0079968288363746
18 12 0.0067978832475863
18 14 0.0050359359762918
18 16 0.0020597821539816
18 18 0.0019291747138699
19 1 0.0024635829837801
19 3 0.0040978674298813
19 5 0.0063537567948660
19 7 0.0035837801395520
19 9 0.0060114863320991
19 11 0.0045353936639841
19 13 0.0060760606705217
19 15 0.0023583366889779
19 17 0.0010821372155001
19 19 0.0014468845492257
20 0 0.0054576757740641
20 2 0.0018006859087954
20 4 0.0039544740748827
20 6 0.0094585899290879
20 8 0.0074543519843368
20 10 0.0042656756645753
20 12 0.0076737651637881
20 14 0.0071677214487872
20 16 0.0059429043953546
20 18 0.0018865156416407
20 20 0.0019113249924185
21 1 0.0022884256762064
21 3 0.0047953111297597
21 5 0.0029709350448810
21 7 0.0059751748872392
21 9 0.0044677345389458
21 11 0.0054488737751429
21 13 0.0095963083419846
21 15 0.0030067761136782
21 17 0.0026302941766670
21 19 0.0025048294281334
21 21 0.0024207055315146
22 0 0.0003355157426411
22 2 0.0027966932809528
22 4 0.0084777972372629
22 6 0.0054740342803477
22 8 0.0121363779102415
22 10 0.0052997880674080
22 12 0.0075102525627074
22 14 0.0104297167009203
22 16 0.0067301429894043
22 18 0.0045672136188509
22 20 0.0027390709091459
22 22 0.0022022359909924
23 1 0.0008754339053407
23 3 0.0047317766466892
23 5 0.0034771509495530
23 7 0.0052274381420863
23 9 0.0077321670493920
23 11 0.0054424474490468
23 13 0.0103835462762815
23 15 0.0054735968678852
23 17 0.0038763080200395
23 19 0.0022971938146394
23 21 0.0039749064070991
23 23 0.0026578002128125
24 0 0.0041147393559855
24 2 0.0047945270659534
24 4 0.0070160612461785
24 6 0.0090421337877158
24 8 0.0114584354037057
24 10 0.0084703858830325
24 12 0.0072387348922326
24 14 0.0102604385960530
24 16 0.0075057353407614
24 18 0.0054489028031842
24 20 0.0046347788329972
24 22 0.0039166806960009
24 24 0.0027415957629666
25 1 0.0029732093445933
25 3 0.0040883395500619
25 5 0.0050210890092541
25 7 0.0058027079352712
25 9 0.0086118837087078
25 11 0.0053628427366513
25 13 0.0082565728239237
25 15 0.0074283543236675
25 17 0.0066315313542076
25 19 0.0023790476835518
25 21 0.0031977256090238
25 23 0.0042491045160996
25 25 0.0023649706865091
