0.005522 5.992110
0 0 0.1179648056942816
1 1 0.0000000000000003
2 0 0.1174969968778844
2 2 0.0305567694772718
3 1 0.0000000000000001
3 3 0.0000000000000002
4 0 0.0277741962263524
4 2 0.0211771487755170
4 4 0.0184172546732236
5 1 0.0000000000000001
5 3 0.0000000000000003
5 5 0.0000000000000001
6 0 0.0117809264813317
6 2 0.0321193264117383
6 4 0.0263746184360677
6 6 0.0197918235093642
7 1 0.0000000000000001
7 3 0.0000000000000001
7 5 0.0000000000000004
7 7 0.0000000000000002
8 0 0.0040155246554718
8 2 0.0328290557816922
8 4 0.0422158784572340
8 6 0.0257797788966788
8 8 0.0168489258606278
9 1 0.0000000000000001
9 3 0.0000000000000002
9 5 0.0000000000000002
9 7 0.0000000000000004
9 9 0.0000000000000002
10 0 0.0000396298424507
10 2 0.0046599513753899
10 4 0.0304997868643240
10 6 0.0285520589762985
10 8 0.0215856607314668
10 10 0.0140395785838091
11 1 0.0000000000000002
11 3 0.0000000000000003
11 5 0.0000000000000002
11 7 0.0000000000000002
11 9 0.0000000000000004
11 11 0.0000000000000002
12 0 0.0047907619777849
12 2 0.0176857461427586
12 4 0.0119128542165710
12 6 0.0267574877957582
12 8 0.0264580785661464
12 10 0.0208987373910099
12 12 0.0091186733572273
13 1 0.0000000000000002
13 3 0.0000000000000002
13 5 0.0000000000000005
13 7 0.0000000000000004
13 9 0.0000000000000004
13 11 0.0000000000000002
13 13 0.0000000000000001
14 0 0.0045066082520055
14 2 0.0185796294730819
14 4 0.0235882196942341
14 6 0.0278138600679776
14 8 0.0270060623834212
14 10 0.0232862989728935
14 12 0.0100365131544555
14 14 0.0056017915216621
15 1 0.0000000000000024
15 3 0.0000000000000021
15 5 0.0000000000000016
15 7 0.0000000000000003
15 9 0.0000000000000005
15 11 0.0000000000000003
15 13 0.0000000000000002
15 15 0.0000000000000001
16 0 0.0019294281646399
16 2 0.0123743287342144
16 4 0.0220952063335265
16 6 0.0189218606814967
16 8 0.0211056444667782
16 10 0.0159735985577483
16 12 0.0100330385144569
16 14 0.0031981564959245
16 16 0.0032552714335182
17 1 0.0000000000000209
17 3 0.0000000000000098
17 5 0.0000000000000020
17 7 0.0000000000000012
17 9 0.0000000000000005
17 11 0.0000000000000003
17 13 0.0000000000000002
17 15 0.0000000000000002
17 17 0.0000000000000001
18 0 0.0010023179295042
18 2 0.0053858217836131
18 4 0.0131822070166055
18 6 0.0082208971565690
18 8 0.0144320884889062
18 10 0.0075242363654851
18 12 0.0054860498434563
18 14 0.0026610175535770
18 16 0.0015115781415946
18 18 0.0019051011058961
19 1 0.0000000000000576
19 3 0.0000000000000326
19 5 0.0000000000000112
19 7 0.0000000000000057
19 9 0.0000000000000027
19 11 0.0000000000000010
19 13 0.0000000000000002
19 15 0.0000000000000002
19 17 0.0000000000000001
19 19 0.0000000000000001
20 0 0.0013927079288939
20 2 0.0039902603839026
20 4 0.0061539879487462
20 6 0.0054987024980019
20 8 0.0076592548708301
20 10 0.0087927524043766
20 12 0.0059403910747459
20 14 0.0029764060024207
20 16 0.0026961818539467
20 18 0.0022098829538308
20 20 0.0010168761789132
21 1 0.0000000000002496
21 3 0.0000000000001014
21 5 0.0000000000000477
21 7 0.0000000000000624
21 9 0.0000000000000187
21 11 0.0000000000000113
21 13 0.0000000000000019
21 15 0.0000000000000001
21 17 0.0000000000000002
21 19 0.0000000000000001
21 21 0.0000000000000000
22 0 0.0026996517802027
22 2 0.0031279387399090
22 4 0.0080736491054281
22 6 0.0084586790079844
22 8 0.0050955623566010
22 10 0.0090506614886272
22 12 0.0086645474590161
22 14 0.0081606784477782
22 16 0.0032169140838446
22 18 0.0032540182252136
22 20 0.0026121908456600
22 22 0.0004008374086508
23 1 0.0000000000006254
23 3 0.0000000000002497
23 5 0.0000000000003646
23 7 0.0000000000003528
23 9 0.0000000000001878
23 11 0.0000000000000482
23 13 0.0000000000000155
23 15 0.0000000000000014
23 17 0.0000000000000003
23 19 0.0000000000000002
23 21 0.0000000000000001
23 23 0.0000000000000000
24 0 0.0047378352105532
24 2 0.0029346532483413
24 4 0.0096396295132232
24 6 0.0073806919107204
24 8 0.0100320610761545
24 10 0.0060073315367342
24 12 0.0116708094728487
24 14 0.0092622798628186
24 16 0.0082764169131245
24 18 0.0038679733643833
24 20 0.0036696891853048
24 22 0.0028413133894549
24 24 0.0002368390779987
25 1 0.0000000000012691
25 3 0.0000000000015695
25 5 0.0000000000029450
25 7 0.0000000000044596
25 9 0.0000000000004716
25 11 0.0000000000002790
25 13 0.0000000000000743
25 15 0.0000000000000331
25 17 0.0000000000000043
25 19 0.0000000000000004
25 21 0.0000000000000002
25 23 0.0000000000000001
25 25 0.0000000000000000
