0.039022 5.665973
0 0 0.0713402493128008
1 1 0.0000000000000002
2 0 0.0582025494683039
2 2 0.0240253902445288
3 1 0.0000000000000002
3 3 0.0000000000000001
4 0 0.0000139977285035
4 2 0.0286213537949610
4 4 0.0234851521311118
5 1 0.0000000000000001
5 3 0.0000000000000002
5 5 0.0000000000000002
6 0 0.0044869701275027
6 2 0.0335728410725682
6 4 0.0383517323429852
6 6 0.0097610568276389
7 1 0.0000000000000002
7 3 0.0000000000000003
7 5 0.0000000000000002
7 7 0.0000000000000001
8 0 0.0008853510221721
8 2 0.0166465053434951
8 4 0.0192088877020248
8 6 0.0224821991451598
8 8 0.0054002896155328
9 1 0.0000000000000001
9 3 0.0000000000000002
9 5 0.0000000000000002
9 7 0.0000000000000003
9 9 0.0000000000000001
10 0 0.0174341804642118
10 2 0.0255781550180960
10 4 0.0269381596790667
10 6 0.0275873043454156
10 8 0.0177212753576435
10 10 0.0049954481079912
11 1 0.0000000000000002
11 3 0.0000000000000004
11 5 0.0000000000000002
11 7 0.0000000000000003
11 9 0.0000000000000003
11 11 0.0000000000000001
12 0 0.0270640756985310
12 2 0.0236037785750036
12 4 0.0289321678034804
12 6 0.0341700667941942
12 8 0.0266570324386025
12 10 0.0130177060112030
12 12 0.0047524452776036
13 1 0.0000000000000003
13 3 0.0000000000000004
13 5 0.0000000000000002
13 7 0.0000000000000004
13 9 0.0000000000000003
13 11 0.0000000000000002
13 13 0.0000000000000001
14 0 0.0217984009639160
14 2 0.0161495751097093
14 4 0.0232288328522898
14 6 0.0296423177075660
14 8 0.0260110353448862
14 10 0.0172029415467416
14 12 0.0112919692505506
14 14 0.0032973806203277
15 1 0.0000000000000020
15 3 0.0000000000000007
15 5 0.0000000000000004
15 7 0.0000000000000003
15 9 0.0000000000000003
15 11 0.0000000000000003
15 13 0.0000000000000002
15 15 0.0000000000000001
16 0 0.0119827544148730
16 2 0.0030361833564903
16 4 0.0092908177315029
16 6 0.0181955567070367
16 8 0.0194635726424941
16 10 0.0178824814320395
16 12 0.0086768536597662
16 14 0.0071058414172145
16 16 0.0018892328870552
17 1 0.0000000000000045
17 3 0.0000000000000067
17 5 0.0000000000000015
17 7 0.0000000000000010
17 9 0.0000000000000005
17 11 0.0000000000000002
17 13 0.0000000000000001
17 15 0.0000000000000001
17 17 0.0000000000000000
18 0 0.0080345712750046
18 2 0.0053568058615249
18 4 0.0031602990589518
18 6 0.0082151428751008
18 8 0.0128421366830925
18 10 0.0160402755567920
18 12 0.0058896004723318
18 14 0.0021088202902613
18 16 0.0031495173871693
18 18 0.0011830846973162
19 1 0.0000000000000095
19 3 0.0000000000000053
19 5 0.0000000000000114
19 7 0.0000000000000023
19 9 0.0000000000000023
19 11 0.0000000000000005
19 13 0.0000000000000002
19 15 0.0000000000000001
19 17 0.0000000000000000
19 19 0.0000000000000000
20 0 0.0082785449043447
20 2 0.0032760790491994
20 4 0.0061367853681897
20 6 0.0023244655704699
20 8 0.0098755499550478
20 10 0.0104915931711540
20 12 0.0096653305215903
20 14 0.0065377176167318
20 16 0.0037294774506308
20 18 0.0015522354629899
20 20 0.0006609760782437
21 1 0.0000000000001335
21 3 0.0000000000000373
21 5 0.0000000000000308
21 7 0.0000000000000201
21 9 0.0000000000000111
21 11 0.0000000000000057
21 13 0.0000000000000010
21 15 0.0000000000000002
21 17 0.0000000000000001
21 19 0.0000000000000000
21 21 0.0000000000000000
22 0 0.0087293155895184
22 2 0.0020739407771278
22 4 0.0046573483158766
22 6 0.0085303992385223
22 8 0.0080728179954231
22 10 0.0092327944407048
22 12 0.0117955011671613
22 14 0.0114852137111814
22 16 0.0087463791044203
22 18 0.0041876139605197
22 20 0.0004069980413830
22 22 0.0003599278387832
23 1 0.0000000000014714
23 3 0.0000000000003967
23 5 0.0000000000002093
23 7 0.0000000000000873
23 9 0.0000000000000385
23 11 0.0000000000000140
23 13 0.0000000000000038
23 15 0.0000000000000006
23 17 0.0000000000000001
23 19 0.0000000000000001
23 21 0.0000000000000000
23 23 0.0000000000000000
24 0 0.0080948537014918
24 2 0.0014414403730851
24 4 0.0030277431839952
24 6 0.0103023168253743
24 8 0.0097530070109102
24 10 0.0094333255748813
24 12 0.0139478216148989
24 14 0.0139078610923083
24 16 0.0086950328926908
24 18 0.0092510675970542
24 20 0.0043128125329994
24 22 0.0001668326447845
24 24 0.0001966571813518
25 1 0.0000000000015443
25 3 0.0000000000011277
25 5 0.0000000000004214
25 7 0.0000000000002275
25 9 0.0000000000001982
25 11 0.0000000000001000
25 13 0.0000000000000167
25 15 0.0000000000000126
25 17 0.0000000000000012
25 19 0.0000000000000002
25 21 0.0000000000000001
25 23 0.0000000000000000
25 25 0.0000000000000000
