0.011720 6.983922
0 0 0.0694753513467152
1 1 0.0136357469813267
2 0 0.0305796906955435
2 2 0.0384687022085705
3 1 0.0167898075205640
3 3 0.0117396101979423
4 0 0.0140855494638377
4 2 0.0237431586053401
4 4 0.0160626151887300
5 1 0.0073718104112339
5 3 0.0334506489128098
5 5 0.0136522793699637
6 0 0.0126687794913451
6 2 0.0120175438691262
6 4 0.0177747506230887
6 6 0.0095806990691679
7 1 0.0282387679773086
7 3 0.0347869973826010
7 5 0.0191395456593556
7 7 0.0116707434379175
8 0 0.0080309200217329
8 2 0.0283552392220023
8 4 0.0351142882170942
8 6 0.0289037514326090
8 8 0.0139474541115468
9 1 0.0260170993091528
9 3 0.0103726051027421
9 5 0.0226695653790331
9 7 0.0159059127136258
9 9 0.0192161505427072
10 0 0.0112951496222488
10 2 0.0313898345482332
10 4 0.0258916081134437
10 6 0.0529917021726690
10 8 0.0225967530068201
10 10 0.0139223255061634
11 1 0.0102871987889736
11 3 0.0384087105863296
11 5 0.0197831464295444
11 7 0.0397054572102116
11 9 0.0214879742798453
11 11 0.0198455117728371
12 0 0.0122616687943877
12 2 0.0186743858647961
12 4 0.0187890733332579
12 6 0.0556948103716555
12 8 0.0286650494986080
12 10 0.0142203380278629
12 12 0.0086501694694020
13 1 0.0017391894799438
13 3 0.0354941020660570
13 5 0.0120851603172956
13 7 0.0445777572955543
13 9 0.0204887383858012
13 11 0.0186796349499734
13 13 0.0102382936522357
14 0 0.0023903802760107
14 2 0.0029908658088762
14 4 0.0190230961543369
14 6 0.0341516717690408
14 8 0.0310277326158768
14 10 0.0133071992886189
14 12 0.0095175295712580
14 14 0.0047542760191841
15 1 0.0036019177080018
15 3 0.0155735947356013
15 5 0.0088251343421923
15 7 0.0306790426325272
15 9 0.0185763154819212
15 11 0.0133527261634599
15 13 0.0067191096441596
15 15 0.0037350748968481
16 0 0.0054232571342907
16 2 0.0083439904764893
16 4 0.0111689281595861
16 6 0.0093347670165338
16 8 0.0250270931464259
16 10 0.0145953244077918
16 12 0.0086355948506419
16 14 0.0022459532011021
16 16 0.0033669498969165
17 1 0.0009865904504615
17 3 0.0047432525469982
17 5 0.0114834158605494
17 7 0.0141148831957521
17 9 0.0157943979219474
17 11 0.0097797036645051
17 13 0.0034544877044267
17 15 0.0022880717906607
17 17 0.0021309352428080
18 0 0.0002975676177185
18 2 0.0052553407123712
18 4 0.0032955795923191
18 6 0.0066258591990791
18 8 0.0150600234306652
18 10 0.0185114351102696
18 12 0.0093820164026076
18 14 0.0045533715568576
18 16 0.0018551234780630
18 18 0.0020032920717480
19 1 0.0013861645015932
19 3 0.0077771191064277
19 5 0.0066448770380163
19 7 0.0064470135700071
19 9 0.0116861828654844
19 11 0.0107714361984835
19 13 0.0061525096142832
19 15 0.0016928621134314
19 17 0.0020675874142571
19 19 0.0019661906989690
20 0 0.0076350302330923
20 2 0.0014085058691878
20 4 0.0049705409674426
20 6 0.0075271554612464
20 8 0.0056164966380349
20 10 0.0214279004877355
20 12 0.0139939753632009
20 14 0.0064403304777821
20 16 0.0026518476670817
20 18 0.0040196700866859
20 20 0.0013532361763720
21 1 0.0003842159810646
21 3 0.0049750533385162
21 5 0.0070061412155747
21 7 0.0095616985262498
21 9 0.0071690886836382
21 11 0.0137119431807141
21 13 0.0120548917066561
21 15 0.0041123594528508
21 17 0.0028514126830719
21 19 0.0033993300159259
21 21 0.0020760347932286
22 0 0.0061431495450848
22 2 0.0018540096162780
22 4 0.0050974473765888
22 6 0.0079996735410391
22 8 0.0063834377135727
22 10 0.0135289604351794
22 12 0.0167064239517764
22 14 0.0097406563675221
22 16 0.0049212523246918
22 18 0.0048077666774336
22 20 0.0054784122773198
22 22 0.0017658269665408
23 1 0.0013890368606368
23 3 0.0071292341274868
23 5 0.0088422349025365
23 7 0.0101972500371406
23 9 0.0053127758652857
23 11 0.0108835418261250
23 13 0.0161700088643114
23 15 0.0097381430669852
23 17 0.0033935583497006
23 19 0.0051755629777579
23 21 0.0050393106568009
23 23 0.0026803149911216
24 0 0.0003697655812590
24 2 0.0007742318660311
24 4 0.0051396701096246
24 6 0.0056985296262580
24 8 0.0091920627670220
24 10 0.0054049832499565
24 12 0.0138671014768452
24 14 0.0150715489548661
24 16 0.0067749979902154
24 18 0.0039405926433012
24 20 0.0061231787055387
24 22 0.0047010319081142
24 24 0.0019792317861957
25 1 0.0001840522096813
25 3 0.0046737550464083
25 5 0.0037445267661797
25 7 0.0092971452700641
25 9 0.0073980089914687
25 11 0.0061889259133355
25 13 0.0153467035553372
25 15 0.0152938788960283
25 17 0.0054138177400421
25 19 0.0053813506373292
25 21 0.0053999274114173
25 23 0.0050131773215298
25 25 0.0024018317160139
