0.023643 6.562042
0 0 0.0605754682283394
1 1 0.0016205593989789
2 0 0.0425701484953607
2 2 0.0563579341262035
3 1 0.0022183659323775
3 3 0.0031174089056115
4 0 0.0217112357045517
4 2 0.0461541174358310
4 4 0.0384067462033808
5 1 0.0034599579877137
5 3 0.0044176979336180
5 5 0.0016653238542193
6 0 0.0131048957332021
6 2 0.0180314008983443
6 4 0.0401508265534903
6 6 0.0139626693347909
7 1 0.0002571651572672
7 3 0.0043025510072023
7 5 0.0037843710423089
7 7 0.0021948750836676
8 0 0.0080807070900931
8 2 0.0168875542740413
8 4 0.0430437236244725
8 6 0.0318321676402251
8 8 0.0168925377852643
9 1 0.0035706593278147
9 3 0.0062679771674607
9 5 0.0063287272722964
9 7 0.0054718860021017
9 9 0.0020514830437365
10 0 0.0296188167044618
10 2 0.0213178327045511
10 4 0.0329287831841323
10 6 0.0597225105427586
10 8 0.0158752616667464
10 10 0.0165069931785191
11 1 0.0016818484909318
11 3 0.0050243793920438
11 5 0.0071526933296919
11 7 0.0071641752746398
11 9 0.0042268727804997
11 11 0.0021677091947196
12 0 0.0321829945767343
12 2 0.0132052271550464
12 4 0.0264547176507808
12 6 0.0491192948186040
12 8 0.0204119772040873
12 10 0.0147008971961066
12 12 0.0117402439652646
13 1 0.0017071603939089
13 3 0.0058078784052646
13 5 0.0050350671363573
13 7 0.0053060241751161
13 9 0.0057255610817249
13 11 0.0021635988695160
13 13 0.0019302735885949
14 0 0.0184891898792133
14 2 0.0064944453402237
14 4 0.0204837486523090
14 6 0.0255865568367718
14 8 0.0186392089264133
14 10 0.0142620894448263
14 12 0.0082018926003515
14 14 0.0065104653302242
15 1 0.0011451915699715
15 3 0.0038490352934172
15 5 0.0027576204602721
15 7 0.0021166080469970
15 9 0.0036195551141509
15 11 0.0029081484634340
15 13 0.0020353886456774
15 15 0.0010147720472705
16 0 0.0106747726083993
16 2 0.0036251352137792
16 4 0.0116068764661672
16 6 0.0106879592504490
16 8 0.0126188736901305
16 10 0.0097774201359420
16 12 0.0086667881789180
16 14 0.0038300445917477
16 16 0.0032871177783623
17 1 0.0007717356653711
17 3 0.0021746945795244
17 5 0.0019398178667578
17 7 0.0013614832686798
17 9 0.0011737201406713
17 11 0.0020445841509445
17 13 0.0023907183398103
17 15 0.0005738112570402
17 17 0.0005907899800150
18 0 0.0108593187345337
18 2 0.0019773694889496
18 4 0.0072876387599915
18 6 0.0056392655486519
18 8 0.0092847842366153
18 10 0.0092589775118429
18 12 0.0078577833647095
18 14 0.0038869004722276
18 16 0.0011772338808350
18 18 0.0016677154666346
19 1 0.0004433416961730
19 3 0.0018189971067803
19 5 0.0011908257201604
19 7 0.0017815594890685
19 9 0.0022590216054543
19 11 0.0010384678974501
19 13 0.0011734473583394
19 15 0.0008737744768492
19 17 0.0005682732152947
19 19 0.0005198661349609
20 0 0.0102296332684644
20 2 0.0016231007405018
20 4 0.0065425285671347
20 6 0.0079818756721704
20 8 0.0077571320071544
20 10 0.0091978901099826
20 12 0.0098095171288641
20 14 0.0040383818618217
20 16 0.0015097977436945
20 18 0.0030315237840712
20 20 0.0018574829187758
21 1 0.0004824988562479
21 3 0.0011312915579490
21 5 0.0023446329229988
21 7 0.0024170026490140
21 9 0.0026125637302947
21 11 0.0023135800577484
21 13 0.0036240821666214
21 15 0.0017094514077377
21 17 0.0008420392755577
21 19 0.0009795611200128
21 21 0.0008204706114347
22 0 0.0063536252003474
22 2 0.0023818290175809
22 4 0.0050818290293515
22 6 0.0101892243988049
22 8 0.0091163134525998
22 10 0.0064390960427552
22 12 0.0114279598939758
22 14 0.0105058996149985
22 16 0.0036443210553540
22 18 0.0030408624559338
22 20 0.0054282584720488
22 22 0.0032679170425909
23 1 0.0009746507981829
23 3 0.0014144468554878
23 5 0.0020489936548125
23 7 0.0028987618816331
23 9 0.0036029422798325
23 11 0.0025776614099655
23 13 0.0051693267225809
23 15 0.0042522239364169
23 17 0.0014366477019466
23 19 0.0010158369341378
23 21 0.0012903129250034
23 23 0.0012217864303964
24 0 0.0027514802708801
24 2 0.0037099562428491
24 4 0.0064355026040293
24 6 0.0093451176969890
24 8 0.0080194238999235
24 10 0.0066246707336213
24 12 0.0070280224262295
24 14 0.0122907477460361
24 16 0.0088803465794547
24 18 0.0036027680177272
24 20 0.0048653901161701
24 22 0.0063276234789473
24 24 0.0038186678962940
25 1 0.0007306534243614
25 3 0.0020496322782020
25 5 0.0014437840621348
25 7 0.0028467226545458
25 9 0.0031696096781546
25 11 0.0025710425394629
25 13 0.0037684164290369
25 15 0.0050014409309077
25 17 0.0034289000015963
25 19 0.0013089680887507
25 21 0.0011114270029473
25 23 0.0015924673939411
25 25 0.0013184403499789
